,title,mean rating,number of ratings
657,Gangs of New York (2002),3.52,55
658,Two Weeks Notice (2002),3.26,19
659,Narc (2002),3.28,9
660,Catch Me If You Can (2002),3.92,115
661,Pinocchio (2002),3.5,1
662,Chicago (2002),3.72,49
663,"Hours, The (2002)",3.7,15
664,Max (2002),2.9,5
665,Nicholas Nickleby (2002),4.0,2
666,"Pianist, The (2002)",4.11,46
667,Heavy Metal 2000 (2000),2.25,2
668,Love Liza (2002),3.33,3
669,Confessions of a Dangerous Mind (2002),3.6,15
670,Blue Collar Comedy Tour: The Movie (2003),3.0,3
671,Just Married (2003),2.75,8
672,"City of Lost Souls, The (Hyôryuu-gai) (2000)",3.0,1
673,"Guy Thing, A (2003)",2.5,4
674,Kangaroo Jack (2003),1.75,2
675,National Security (2003),2.5,5
676,City of God (Cidade de Deus) (2002),4.15,75
677,Darkness Falls (2003),2.12,4
678,Amen. (2002),3.83,3
679,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),3.0,1
680,Biker Boyz (2003),2.0,1
681,Final Destination 2 (2003),3.05,10
682,"Recruit, The (2003)",3.35,17
683,"Guru, The (2002)",3.0,2
684,Lost in La Mancha (2002),3.08,6
685,May (2002),3.33,3
686,Ordinary Decent Criminal (2000),4.0,1
687,How to Lose a Guy in 10 Days (2003),3.28,29
688,Shanghai Knights (2003),3.21,19
689,Daredevil (2003),2.5,32
690,"Jungle Book 2, The (2003)",3.0,1
691,All the Real Girls (2003),4.25,2
692,Gerry (2002),3.17,3
693,He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),4.5,1
694,Dark Blue (2003),3.0,3
695,Gods and Generals (2003),3.0,1
696,"Life of David Gale, The (2003)",3.81,8
697,Old School (2003),3.51,39
698,Open Hearts (Elsker dig for evigt) (2002),5.0,1
699,Poolhall Junkies (2002),3.83,3
700,Stone Reader (2002),4.0,2
701,Cradle 2 the Grave (2003),3.5,3
702,Spider (2002),3.33,3
703,Late Marriage (Hatuna Meuheret) (2001),3.5,1
704,Volcano High (Whasango) (2001),3.0,1
705,Bringing Down the House (2003),1.92,6
706,Tears of the Sun (2003),2.64,7
707,Irreversible (Irréversible) (2002),3.89,9
708,Laurel Canyon (2002),3.0,3
709,Nowhere in Africa (Nirgendwo in Afrika) (2001),3.75,2
710,"Safety of Objects, The (2001)",3.0,2
711,Bend It Like Beckham (2002),3.3,40
712,"Hunted, The (2003)",3.0,3
713,Willard (2003),2.5,4
714,Prozac Nation (2001),3.0,1
715,Spun (2001),3.25,2
716,Boat Trip (2003),2.38,4
717,Dreamcatcher (2003),2.64,7
718,Piglet's Big Movie (2003),2.0,1
719,View from the Top (2003),2.38,4
720,Basic (2003),3.75,2
721,"Core, The (2003)",2.38,8
722,Head of State (2003),2.25,2
723,What a Girl Wants (2003),3.06,8
724,Assassination Tango (2002),2.0,1
725,Raising Victor Vargas (2002),3.75,2
726,Stevie (2002),4.25,2
727,"Good Thief, The (2002)",4.0,1
728,"Man Apart, A (2003)",2.25,2
729,Phone Booth (2002),3.14,32
730,Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),3.9,20
731,Levity (2003),4.0,1
732,"Man Without a Past, The (Mies vailla menneisyyttä) (2002)",3.88,4
733,Anger Management (2003),3.06,34
734,Better Luck Tomorrow (2002),3.88,4
735,Ghosts of the Abyss (2003),3.5,1
736,House of 1000 Corpses (2003),2.71,7
737,Lilya 4-Ever (Lilja 4-ever) (2002),3.5,3
738,Bulletproof Monk (2003),2.41,11
739,Chasing Papi (a.k.a. Papi Chulo) (2003),2.0,1
740,"Mighty Wind, A (2003)",3.75,14
741,Holes (2003),3.42,20
742,Malibu's Most Wanted (2003),2.67,3
743,"Winged Migration (Peuple migrateur, Le) (2001)",3.5,9
744,Flickering Lights (Blinkende lygter) (2000),4.5,3
745,I Am Trying to Break Your Heart (2002),4.17,3
746,Confidence (2003),2.83,6
747,Identity (2003),3.68,22
748,It Runs in the Family (2003),2.5,2
749,"Decade Under the Influence, A (2003)",3.5,3
750,Manic (2001),3.0,1
751,People I Know (2002),3.0,2
752,Spellbound (2002),3.92,13
753,"Lizzie McGuire Movie, The (2003)",3.0,4
754,X2: X-Men United (2003),3.72,76
755,Blue Car (2002),3.5,3
756,"Dancer Upstairs, The (2002)",3.83,3
757,Marooned in Iraq (Gomgashtei dar Aragh) (2002),3.0,1
758,Owning Mahowny (2003),3.5,4
759,Daddy Day Care (2003),2.33,6
760,"Man on the Train (Homme du train, L') (2002)",3.88,4
761,"Shape of Things, The (2003)",3.25,4
762,"Trip, The (2002)",2.0,1
763,101 Reykjavik (101 Reykjavík) (2000),3.5,1
764,"Matrix Reloaded, The (2003)",3.35,96
765,Down with Love (2003),2.9,10
766,Cinemania (2002),4.0,4
767,"Spanish Apartment, The (L'auberge espagnole) (2002)",4.0,5
768,Pokémon Heroes (2003),0.5,1
769,Bruce Almighty (2003),3.32,71
770,"In-Laws, The (2003)",2.17,3
771,Gigantic (A Tale of Two Johns) (2002),4.0,4
772,Respiro (2002),3.5,2
773,Finding Nemo (2003),3.96,141
774,"Italian Job, The (2003)",3.62,59
775,Wrong Turn (2003),3.0,2
776,Capturing the Friedmans (2003),3.93,7
777,Together (Han ni Zai Yiki) (2002),3.0,1
778,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.61,19
779,Whale Rider (2002),3.75,14
780,Murder on a Sunday Morning (Un coupable idéal) (2001),3.5,1
781,Dumb and Dumberer: When Harry Met Lloyd (2003),1.95,11
782,From Justin to Kelly (2003),0.83,3
783,Hollywood Homicide (2003),2.93,7
784,Alex and Emma (2003),2.0,1
785,28 Days Later (2002),3.97,58
786,Charlie's Angels: Full Throttle (2003),2.37,27
787,Fulltime Killer (Chuen jik sat sau) (2001),3.5,1
788,Hulk (2003),2.56,33
789,"Legally Blonde 2: Red, White & Blonde (2003)",2.41,11
790,Sinbad: Legend of the Seven Seas (2003),3.67,6
791,Terminator 3: Rise of the Machines (2003),3.04,45
792,Swimming Pool (2003),3.6,5
793,Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.78,149
794,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",2.62,32
795,"Cuckoo, The (Kukushka) (2002)",3.5,1
796,I Capture the Castle (2003),4.5,1
797,Northfork (2003),2.25,2
798,Bad Boys II (2003),2.88,17
799,How to Deal (2003),3.5,3
800,Johnny English (2003),2.96,13
801,"Anarchist Cookbook, The (2002)",4.0,1
802,Dirty Pretty Things (2002),3.62,12
803,"Embalmer, The (Imbalsamatore, L') (2002)",4.0,1
804,Garage Days (2002),1.25,2
805,Masked & Anonymous (2003),2.5,1
806,Lara Croft Tomb Raider: The Cradle of Life (2003),2.65,17
807,Seabiscuit (2003),3.69,18
808,Spy Kids 3-D: Game Over (2003),2.0,3
809,Buffalo Soldiers (2001),3.5,3
810,Camp (2003),3.25,2
811,"Mondays in the Sun (Lunes al sol, Los) (2002)",4.0,1
812,Scorched (2003),3.5,2
813,American Wedding (American Pie 3) (2003),3.09,16
814,Gigli (2003),1.5,1
815,And Now... Ladies and Gentlemen... (2002),4.0,1
816,"Magdalene Sisters, The (2002)",4.33,6
817,"Secret Lives of Dentists, The (2002)",4.0,1
818,Freaky Friday (2003),3.21,24
819,S.W.A.T. (2003),3.32,14
820,"Divorce, Le (2003)",3.5,1
821,"Princess Blade, The (Shura Yukihime) (2001)",3.0,1
822,Step Into Liquid (2002),3.5,1
823,Freddy vs. Jason (2003),2.33,9
824,Grind (2003),2.75,2
825,Open Range (2003),3.94,9
826,Shaolin Soccer (Siu lam juk kau) (2001),3.82,17
827,Uptown Girls (2003),2.92,6
828,American Splendor (2003),3.83,18
829,Agent Cody Banks (2003),1.9,5
830,Comic Book Villains (2002),2.25,2
831,Revolution OS (2001),4.0,1
832,"Medallion, The (2003)",2.7,5
833,My Boss's Daughter (2003),2.0,4
834,Autumn Spring (Babí léto) (2001),3.5,1
835,"Battle of Shaker Heights, The (2003)",4.0,1
836,Dust (2001),2.5,1
837,Stoked: The Rise and Fall of Gator (2002),2.0,1
838,Jeepers Creepers 2 (2003),1.88,4
839,Bollywood/Hollywood (2002),2.5,1
840,Once Upon a Time in the Midlands (2002),3.0,1
841,Dickie Roberts: Former Child Star (2003),2.3,5
842,Party Monster (2003),2.5,1
843,Taking Sides (2001),3.5,1
844,Cabin Fever (2002),2.88,8
845,Matchstick Men (2003),3.72,34
846,Once Upon a Time in Mexico (2003),3.21,14
847,Dummy (2002),3.62,4
848,Lost in Translation (2003),4.03,74
849,Millennium Actress (Sennen joyû) (2001),3.8,5
850,Anything Else (2003),2.83,3
851,Cold Creek Manor (2003),2.5,1
852,"Fighting Temptations, The (2003)",3.5,1
853,Secondhand Lions (2003),3.5,12
854,Underworld (2003),3.5,33
855,Bubba Ho-tep (2002),3.32,14
856,In This World (2002),3.0,2
857,Duplex (2003),2.43,7
858,"Rundown, The (2003)",3.15,17
859,Under the Tuscan Sun (2003),3.28,9
860,Luther (2003),4.0,1
861,Mambo Italiano (2003),3.0,1
862,My Life Without Me (2003),3.5,2
863,To Be and to Have (Être et avoir) (2002),3.0,1
864,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)",3.7,22
865,Life and Debt (2001),4.0,1
866,Lagaan: Once Upon a Time in India (2001),4.17,3
867,Avalon (2001),3.5,3
868,Ginger Snaps (2000),4.0,6
869,Out of Time (2003),3.5,2
870,School of Rock (2003),3.4,66
871,"Station Agent, The (2003)",3.58,12
872,Wonderland (2003),3.43,7
873,Bus 174 (Ônibus 174) (2002),3.83,3
874,Mystic River (2003),3.71,52
875,"House of the Dead, The (2003)",1.12,4
876,Intolerable Cruelty (2003),3.18,20
877,Kill Bill: Vol. 1 (2003),3.96,131
878,Runaway Jury (2003),3.44,17
879,"Texas Chainsaw Massacre, The (2003)",1.86,7
880,Pieces of April (2003),3.07,7
881,Returner (Ritaanaa) (2002),2.5,1
882,Sylvia (2003),3.0,1
883,Veronica Guerin (2003),3.0,2
884,In the Cut (2003),2.83,3
885,Beyond Borders (2003),3.5,1
886,Radio (2003),4.1,5
887,Scary Movie 3 (2003),2.28,20
888,Brother Bear (2003),3.0,2
889,Elephant (2003),3.56,9
890,Sweet Sixteen (2002),3.33,3
891,Interstate 60 (2002),4.0,2
892,"Eye, The (Gin gwai) (Jian gui) (2002)",3.25,2
893,"Human Stain, The (2003)",4.0,1
894,Shattered Glass (2003),3.5,7
895,"Matrix Revolutions, The (2003)",3.15,79
896,"Revolution Will Not Be Televised, The (a.k.a. Chavez: Inside the Coup) (2003)",4.0,1
897,Elf (2003),3.69,39
898,Billabong Odyssey (2003),4.0,1
899,Love Actually (2003),3.79,59
900,My Architect: A Son's Journey (2003),4.25,2
901,Looney Tunes: Back in Action (2003),2.75,2
902,Master and Commander: The Far Side of the World (2003),3.64,36
903,Tupac: Resurrection (2003),4.0,1
904,"Big Empty, The (2003)",3.5,1
905,"Missing, The (2003)",3.67,3
906,"Cat in the Hat, The (2003)",2.1,5
907,Gothika (2003),3.11,9
908,21 Grams (2003),3.3,25
909,"Barbarian Invasions, The (Les invasions barbares) (2003)",4.0,3
910,Bad Santa (2003),3.37,26
911,"Haunted Mansion, The (2003)",2.5,10
912,Timeline (2003),2.0,3
913,OT: Our Town (2002),3.5,1
914,Devil's Playground (2002),4.25,2
915,Journeys with George (2002),3.5,1
916,Battle Royale (Batoru rowaiaru) (2000),3.93,30
917,Things You Can Tell Just by Looking at Her (2000),4.0,1
918,Hero (Ying xiong) (2002),3.92,38
919,Rivers and Tides (2001),5.0,1
920,"Cooler, The (2003)",3.55,10
921,In America (2002),3.86,7
922,My Flesh and Blood (2003),4.0,1
923,Honey (2003),3.0,3
924,"Last Samurai, The (2003)",3.9,62
925,Big Fish (2003),3.83,69
926,Something's Gotta Give (2003),3.65,17
927,Stuck on You (2003),2.8,10
928,Girl with a Pearl Earring (2003),3.38,12
929,"Lord of the Rings: The Return of the King, The (2003)",4.12,185
930,Mona Lisa Smile (2003),2.8,10
931,Calendar Girls (2003),2.62,8
932,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",4.31,13
933,House of Sand and Fog (2003),3.78,9
934,Monster (2003),3.53,17
935,Cheaper by the Dozen (2003),1.94,8
936,Cold Mountain (2003),3.29,12
937,Paycheck (2003),2.91,17
938,Peter Pan (2003),3.08,6
939,"Company, The (2003)",3.0,1
940,Japanese Story (2003),3.0,1
941,Chasing Liberty (2004),3.94,8
942,Aileen: Life and Death of a Serial Killer (2003),3.5,2
943,Along Came Polly (2004),3.04,24
944,Torque (2004),2.25,2
945,Crimson Gold (Talaye sorgh) (2003),3.5,1
946,Osama (2003),3.5,1
947,Beyond Re-Animator (2003),3.0,1
948,Ichi the Killer (Koroshiya 1) (2001),3.42,6
949,"Suriyothai (a.k.a. Legend of Suriyothai, The) (2001)",3.5,1
950,The Butterfly Effect (2004),3.63,46
951,Win a Date with Tad Hamilton! (2004),2.81,8
952,Touching the Void (2003),4.0,8
953,"Big Bounce, The (2004)",2.0,4
954,"Perfect Score, The (2004)",2.75,4
955,You Got Served (2004),2.12,4
956,Latter Days (2003),3.5,1
957,Barbershop 2: Back in Business (2004),2.17,3
958,Catch That Kid (2004),2.0,1
959,Miracle (2004),3.35,10
960,An Amazing Couple (2002),4.0,1
961,"Dreamers, The (2003)",3.73,13
962,"Lost Skeleton of Cadavra, The (2002)",4.0,1
963,"Hip Hop Witch, Da (2000)",1.0,1
964,Thirteen (2003),3.61,9
965,50 First Dates (2004),3.55,47
966,Welcome to Mooseport (2004),3.25,4
967,Kitchen Stories (Salmer fra kjøkkenet) (2003),3.67,3
968,Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003),3.67,3
969,"Herod's Law (Ley de Herodes, La) (2000)",3.0,1
970,Against the Ropes (2004),2.0,2
971,Confessions of a Teenage Drama Queen (2004),2.38,4
972,EuroTrip (2004),3.13,15
973,"Passion of the Christ, The (2004)",2.62,13
974,Club Dread (2004),2.08,6
975,Dirty Dancing: Havana Nights (2004),3.4,5
976,Twisted (2004),2.75,2
977,"Good bye, Lenin! (2003)",3.8,23
978,Hidalgo (2004),3.32,11
979,Starsky & Hutch (2004),3.29,21
980,"Reckoning, The (2004)",3.5,1
981,Agent Cody Banks 2: Destination London (2004),4.0,1
982,"Girl Next Door, The (2004)",3.12,20
983,Secret Window (2004),3.3,15
984,Spartan (2004),3.5,3
985,Broken Wings (Knafayim Shvurot) (2002),3.0,1
986,Wilbur Wants to Kill Himself (2002),4.0,2
987,Dawn of the Dead (2004),3.91,16
988,Eternal Sunshine of the Spotless Mind (2004),4.16,131
989,Taking Lives (2004),3.25,4
990,Intermission (2003),4.0,1
991,Jersey Girl (2004),2.94,8
992,"Ladykillers, The (2004)",2.57,14
993,Never Die Alone (2004),3.5,1
994,Scooby-Doo 2: Monsters Unleashed (2004),2.25,4
995,Dogville (2003),4.03,20
996,Ned Kelly (2003),3.0,1
997,Hellboy (2004),3.38,41
998,"Prince & Me, The (2004)",3.07,7
999,Walking Tall (2004),3.0,6
1000,"United States of Leland, The (2003)",3.5,1
1001,The Alamo (2004),3.5,6
1002,Ella Enchanted (2004),3.36,7
1003,"Whole Ten Yards, The (2004)",3.14,7
1004,I'm Not Scared (Io non ho paura) (2003),4.25,2
1005,Prey for Rock & Roll (2003),1.5,1
1006,Kill Bill: Vol. 2 (2004),3.87,110
1007,"Punisher, The (2004)",3.5,14
1008,Paper Clips (2004),3.25,2
1009,This So-Called Disaster (2003),3.5,1
1010,13 Going on 30 (2004),3.19,21
1011,Man on Fire (2004),3.63,35
1012,Envy (2004),2.75,4
1013,Godsend (2004),2.5,2
1014,Laws of Attraction (2004),2.75,4
1015,Mean Girls (2004),3.76,39
1016,Van Helsing (2004),2.71,24
1017,"Mudge Boy, The (2003)",3.0,1
1018,Breakin' All the Rules (2004),3.5,1
1019,Troy (2004),3.43,48
1020,Carandiru (2003),4.5,1
1021,Coffee and Cigarettes (2003),3.58,6
1022,Eye See You (D-Tox) (2002),2.5,1
1023,100 Girls (2000),3.25,4
1024,Wit (2001),4.5,1
1025,Rose Red (2002),3.0,2
1026,Versus (2000),3.75,2
1027,"Best of Youth, The (La meglio gioventù) (2003)",4.75,2
1028,"Bang, Bang, You're Dead (2002)",4.0,2
1029,"11'09""01 - September 11 (2002)",4.0,2
1030,Children of Dune (2003),3.75,2
1031,Dune (2000),4.38,4
1032,Lammbock (2001),4.5,1
1033,Tremors 3: Back to Perfection (2001),3.0,3
1034,Notorious C.H.O. (2002),3.5,1
1035,Dark Days (2000),3.67,3
1036,Ken Park (2002),4.5,1
1037,Infernal Affairs (Mou gaan dou) (2002),4.33,9
1038,"Tale of Two Sisters, A (Janghwa, Hongryeon) (2003)",3.25,4
1039,"Weather Underground, The (2002)",4.0,4
1040,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",4.25,10
1041,Dark Water (Honogurai mizu no soko kara) (2002),4.0,1
1042,"Seducing Doctor Lewis (Grande séduction, La) (2003)",2.0,2
1043,Pursuit of Happiness (2001),3.5,1
1044,Dolls (2002),4.25,2
1045,Shrek 2 (2004),3.58,92
1046,"Day After Tomorrow, The (2004)",3.05,50
1047,Raising Helen (2004),2.75,4
1048,Soul Plane (2004),3.75,2
1049,Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003),3.38,4
1050,Saved! (2004),3.89,14
1051,Harry Potter and the Prisoner of Azkaban (2004),3.91,93
1052,Mindhunters (2004),2.67,3
1053,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",3.96,12
1054,"Chronicles of Riddick, The (2004)",3.3,23
1055,Garfield: The Movie (2004),2.3,5
1056,"Stepford Wives, The (2004)",2.25,12
1057,"Hunting of the President, The (2004)",2.5,1
1058,Napoleon Dynamite (2004),3.32,37
1059,Hope Springs (2003),1.0,1
1060,Super Size Me (2004),3.51,50
1061,Animal Factory (2000),2.5,1
1062,Fear X (2003),2.25,2
1063,Around the World in 80 Days (2004),2.5,3
1064,Dodgeball: A True Underdog Story (2004),3.55,39
1065,"Terminal, The (2004)",3.32,47
1066,Dear Frankie (2004),3.75,2
1067,White Chicks (2004),2.83,6
1068,"Door in the Floor, The (2004)",2.5,1
1069,"Notebook, The (2004)",3.57,38
1070,Two Brothers (Deux frères) (2004),3.5,1
1071,De-Lovely (2004),4.0,1
1072,"Happenstance (Battement d'ailes du papillon, Le) (2001)",3.0,1
1073,Comandante (2003),4.0,1
1074,Undead (2003),3.25,2
1075,Mayor of the Sunset Strip (2003),3.5,1
1076,Killing Me Softly (2002),4.0,1
1077,Taxi 3 (2003),3.25,2
1078,Tokyo Godfathers (2003),3.9,5
1079,Fahrenheit 9/11 (2004),3.49,37
1080,Secret Society (2002),0.5,1
1081,Spider-Man 2 (2004),3.8,79
1082,Before Sunset (2004),3.7,15
1083,King Arthur (2004),2.96,13
1084,Anchorman: The Legend of Ron Burgundy (2004),3.77,57
1085,"Cinderella Story, A (2004)",3.28,9
1086,"I, Robot (2004)",3.49,61
1087,"Maria Full of Grace (Maria, Llena eres de gracia) (2004)",3.94,8
1088,"Bourne Supremacy, The (2004)",3.79,75
1089,Catwoman (2004),1.33,9
1090,A Home at the End of the World (2004),3.5,1
1091,To End All Wars (2001),4.0,2
1092,Unprecedented: The 2000 Presidential Election (2002),3.5,1
1093,"Manchurian Candidate, The (2004)",3.04,12
1094,Thunderbirds (2004),2.75,2
1095,"Village, The (2004)",3.19,26
1096,Garden State (2004),3.71,48
1097,Musa the Warrior (Musa) (2001),4.5,1
1098,Collateral (2004),3.76,44
1099,Little Black Book (2004),2.17,3
1100,Code 46 (2003),4.5,1
1101,Harold and Kumar Go to White Castle (2004),3.46,34
1102,"Princess Diaries 2: Royal Engagement, The (2004)",2.5,7
1103,Danny Deckchair (2003),3.25,2
1104,AVP: Alien vs. Predator (2004),2.82,17
1105,We Don't Live Here Anymore (2004),4.0,2
1106,Without a Paddle (2004),2.0,7
1107,Exorcist: The Beginning (2004),2.5,3
1108,Anacondas: The Hunt for the Blood Orchid (2004),1.75,2
1109,Suspect Zero (2004),3.5,1
1110,Warriors of Heaven and Earth (Tian di ying xiong) (2003),3.25,2
1111,Vanity Fair (2004),3.5,3
1112,Paparazzi (2004),2.33,3
1113,Wicker Park (2004),3.33,3
1114,Cellular (2004),2.86,7
1115,Resident Evil: Apocalypse (2004),2.93,14
1116,Mr. 3000 (2004),2.67,3
1117,Sky Captain and the World of Tomorrow (2004),2.64,18
1118,Wimbledon (2004),3.11,9
1119,First Daughter (2004),3.33,6
1120,"Forgotten, The (2004)",2.5,5
1121,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",3.8,27
1122,Shaun of the Dead (2004),4.01,77
1123,Shark Tale (2004),2.35,13
1124,Ladder 49 (2004),3.67,6
1125,I Heart Huckabees (2004),3.45,21
1126,Raise Your Voice (2004),5.0,1
1127,Taxi (2004),1.75,2
1128,Primer (2004),3.79,17
1129,Stage Beauty (2004),3.5,1
1130,Shall We Dance? (2004),3.0,3
1131,Team America: World Police (2004),3.47,32
1132,Eulogy (2004),3.0,1
1133,P.S. (2004),4.25,2
1134,Friday Night Lights (2004),3.56,8
1135,Tarnation (2003),4.0,1
1136,"Final Cut, The (2004)",3.67,3
1137,Being Julia (2004),1.75,2
1138,Surviving Christmas (2004),2.75,2
1139,"Grudge, The (2004)",2.3,10
1140,Alfie (2004),2.33,3
1141,Sideways (2004),3.74,39
1142,The Machinist (2004),3.99,38
1143,Vera Drake (2004),3.0,4
1144,Falling Angels (2003),3.5,1
1145,Lightning in a Bottle (2004),4.0,1
1146,Undertow (2004),3.0,1
1147,Saw (2004),3.18,33
1148,Ray (2004),3.68,19
1149,Birth (2004),2.5,3
1150,"Incredibles, The (2004)",3.84,125
1151,Callas Forever (2002),3.0,1
1152,"Polar Express, The (2004)",3.14,11
1153,Kinsey (2004),3.12,8
1154,Seed of Chucky (Child's Play 5) (2004),1.75,4
1155,After the Sunset (2004),3.58,6
1156,Bridget Jones: The Edge of Reason (2004),3.02,20
1157,Finding Neverland (2004),3.61,32
1158,National Treasure (2004),3.26,38
1159,Bad Education (La mala educación) (2004),3.75,8
1160,"SpongeBob SquarePants Movie, The (2004)",3.0,2
1161,Alexander (2004),2.2,10
1162,Christmas with the Kranks (2004),2.5,2
1163,Guerrilla: The Taking of Patty Hearst (2004),4.0,1
1164,Closer (2004),3.72,16
1165,I Am David (2003),3.0,3
1166,House of Flying Daggers (Shi mian mai fu) (2004),3.52,25
1167,Ocean's Twelve (2004),3.29,43
1168,Blade: Trinity (2004),2.86,14
1169,Bush's Brain (2004),3.0,1
1170,Love Me If You Dare (Jeux d'enfants) (2003),4.1,5
1171,Control Room (2004),4.33,3
1172,Dark Portals: The Chronicles of Vidocq  (Vidocq) (2001),4.0,1
1173,In July (Im Juli) (2000),4.0,1
1174,Taxi 2 (2000),3.88,4
1175,If These Walls Could Talk 2 (2000),4.0,1
1176,"10th Kingdom, The (2000)",2.75,2
1177,2046 (2004),4.07,7
1178,Bartleby (2001),1.5,1
1179,Batman Beyond: Return of the Joker (2000),3.5,3
1180,"Nine Lives of Tomas Katz, The (2000)",5.0,1
1181,Monday (2000),4.5,1
1182,Paradise Lost 2: Revelations (2000),4.0,1
1183,Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),4.0,3
1184,Daria: Is It Fall Yet? (2000),4.0,1
1185,Late Night Shopping (2001),4.5,1
1186,61* (2001),5.0,1
1187,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),4.25,4
1188,Ripley's Game (2002),3.33,3
1189,Jalla! Jalla! (2000),3.75,2
1190,Teknolust (2002),2.0,1
1191,"Accidental Spy, The (Dak miu mai shing) (2001)",2.5,1
1192,Darkness (2002),1.5,3
1193,Blood: The Last Vampire (2000),3.25,2
1194,Blueberry (2004),2.5,1
1195,American Psycho II: All American Girl (2002),2.5,1
1196,Ali G Indahouse (2002),3.0,3
1197,Dead or Alive 2: Tôbôsha (2000),4.5,1
1198,Cube 2: Hypercube (2002),3.75,2
